memberId,facebook,google_circles,linkedin,instagram,sdn
121,1,1,1,1,1
122,0,1,0,0,0
123,1,1,1,0,0
124,0,0,0,1,1
125,1,0,1,1,0
126,0,0,1,0,0
127,1,0,1,1,1
128,1,0,1,1,0
129,0,0,1,0,0
130,0,0,1,1,1
131,0,1,1,0,0
132,1,1,0,1,1
133,0,0,0,0,0
134,0,1,0,0,0
135,0,1,0,0,1
136,0,1,1,0,0
137,0,1,1,1,1
138,1,1,1,0,1
139,1,0,0,1,1
140,1,0,1,1,1
141,0,1,0,1,0
142,1,0,1,0,0
143,0,1,0,0,1
144,0,1,0,1,1
145,0,1,0,0,0
146,0,1,0,0,0
147,1,1,1,0,0
148,1,0,1,1,0
149,1,0,1,1,1
150,0,1,1,0,0
151,1,0,1,1,1
152,0,0,1,0,0
153,1,0,1,0,0
154,1,1,0,1,1
155,1,1,1,1,1
156,1,0,0,1,1
157,0,1,0,1,0
158,0,0,0,1,0
159,1,1,1,1,0
160,1,0,0,1,0
161,0,1,0,0,0
162,1,0,0,1,0
163,0,0,0,0,0
164,1,0,0,0,1
165,0,1,1,1,0
166,1,0,1,1,0
167,1,0,0,1,1
168,1,0,1,0,0
169,1,1,1,0,0
170,1,1,0,0,1
171,0,1,1,0,0
172,0,1,1,0,1
173,0,1,1,1,0
174,0,0,0,0,0
175,1,0,0,0,1
176,1,0,0,0,1
177,0,1,0,1,1
178,1,0,1,1,1
179,1,1,1,0,1
180,0,1,1,1,1
181,0,1,0,1,1
182,0,0,1,1,1
183,1,1,1,1,1
184,1,0,1,0,1
185,0,0,1,1,0
186,0,0,0,0,1
187,1,1,0,0,1
188,0,0,0,1,0
189,1,0,0,1,1
190,1,1,1,1,0
191,0,0,0,0,0
192,0,0,0,0,1
193,1,1,0,1,1
194,0,1,0,1,0
195,0,1,1,0,0
196,1,0,1,1,0
197,0,0,0,0,0
198,1,0,1,1,1
199,1,0,0,1,1
200,0,1,0,1,0
201,1,0,0,1,1
202,1,1,1,1,0
203,0,1,0,1,1
204,1,1,0,1,1
205,0,1,1,1,0
206,0,1,0,0,1
207,1,1,1,0,1
208,0,1,0,0,0
209,0,0,1,0,0
210,0,0,1,0,1
211,1,1,1,1,0
212,1,0,0,0,0
213,1,0,0,0,1
214,0,0,1,1,0
215,0,1,1,1,1
216,1,1,0,0,0
217,0,1,1,1,0
218,1,0,0,1,1
219,0,1,1,1,0
220,1,0,1,1,0
221,1,0,0,1,0
222,0,1,1,0,1
223,1,1,1,1,0
224,0,0,0,0,1
225,0,1,1,0,1
226,1,1,0,1,0
227,0,0,1,1,0
228,1,1,1,1,0
229,1,0,1,0,0
230,1,1,1,1,0
231,0,1,1,0,0
232,1,1,0,1,0
233,0,1,0,1,1
234,0,0,0,0,1
235,0,0,0,0,0
236,0,1,1,0,0
237,1,0,0,1,1
238,0,1,0,0,0
239,1,1,1,1,1
240,0,0,0,0,1
241,1,1,1,1,0
242,1,0,1,0,1
243,1,1,0,1,1
244,0,1,1,1,0
245,0,1,0,1,0
246,1,0,1,1,0
247,1,0,1,1,1
248,1,1,1,1,1
249,0,1,0,0,0
250,1,1,0,0,1
251,1,0,0,1,0
252,1,1,0,1,1
253,0,1,1,1,0
254,1,0,0,1,0
255,0,1,1,0,0
256,0,1,1,1,1
257,1,0,0,0,0
258,0,0,0,1,0
259,1,0,0,0,0
260,1,0,0,1,0
261,1,1,1,0,1
262,0,0,1,1,1
263,0,1,1,0,0
264,1,0,1,1,0
265,1,1,0,1,0
266,1,1,0,1,0
267,0,1,0,1,0
268,1,1,1,0,1
269,1,0,1,0,0
270,0,0,1,0,1
271,1,1,0,0,0
272,1,1,1,1,1
273,1,0,1,1,1
274,0,0,1,0,0
275,1,1,1,1,1
276,0,1,0,1,1
277,1,1,0,1,0
278,1,0,0,0,0
279,1,1,0,0,1
280,1,0,1,1,1
281,0,0,1,1,1
282,0,1,0,1,0
283,1,0,0,1,0
284,0,0,0,0,1
285,1,0,0,1,1
286,0,1,1,1,1
287,1,0,1,1,1
288,0,1,0,1,0
289,1,0,0,0,1
290,1,1,1,1,0
291,1,1,1,1,1
292,1,0,0,1,0
293,1,1,1,0,1
294,0,1,0,0,0
295,1,1,1,0,0
296,0,0,0,1,0
297,1,1,1,0,0
298,1,0,1,0,0
299,0,0,0,1,1
300,1,1,1,0,1
301,0,0,0,1,1
302,0,0,1,1,1
303,0,0,1,1,1
304,0,1,0,0,1
305,1,1,1,0,0
306,0,1,0,0,1
307,0,1,1,0,1
308,0,0,0,1,1
309,1,1,1,1,1
310,1,1,1,1,0
311,0,1,1,1,1
312,0,1,1,0,0
313,1,1,1,1,0
314,1,0,1,1,1
315,1,0,1,1,0
316,0,1,0,0,1
317,1,0,0,0,0
318,1,1,0,1,0
319,1,0,1,0,0
320,0,1,0,1,1
321,0,0,1,1,0
322,0,1,1,1,1
323,0,0,0,0,1
324,1,1,1,1,0
325,0,0,1,0,0
326,1,0,1,1,1
327,0,0,1,1,0
328,1,0,1,0,1
329,0,1,1,0,1
330,1,1,1,0,1
331,1,1,1,0,0
332,0,0,0,1,0
333,1,1,0,0,0
334,1,0,1,1,1
335,0,1,1,1,1
336,0,0,0,1,1
337,1,1,1,0,0
338,1,1,1,0,0
339,0,0,1,0,0
340,1,0,0,1,1
341,0,0,0,0,1
342,0,1,1,1,1
343,0,1,1,0,0
344,1,1,1,0,1
345,0,1,1,1,0
346,0,1,1,0,0
347,0,0,1,0,0
348,1,1,1,1,0
349,0,0,1,0,1
350,1,1,0,0,0
351,1,1,0,0,0
352,0,0,1,0,0
353,1,1,0,0,1
354,1,1,0,0,1
355,1,0,0,1,1
356,1,0,0,1,0
357,0,1,1,0,1
358,0,0,0,1,1
359,0,1,0,0,0
360,0,1,1,1,0
361,0,0,0,1,0
362,0,0,1,0,1
363,1,1,1,0,1
364,0,0,0,0,0
365,0,0,1,1,1
366,0,0,1,1,1
367,0,1,0,1,0
368,0,0,0,1,1
369,1,1,1,1,1
370,0,1,1,1,0
371,0,0,1,1,0
372,0,0,0,0,1
373,1,1,1,1,1
374,1,0,1,0,1
375,1,0,1,0,0
376,1,0,0,1,0
377,1,0,0,1,1
378,0,1,0,0,1
379,1,0,0,0,0
380,0,1,0,1,0
381,1,0,0,1,1
382,1,1,1,0,0
383,1,0,1,0,0
384,1,1,1,0,0
385,0,1,0,0,0
386,0,1,1,0,1
387,1,0,0,0,1
388,0,0,1,0,1
389,1,1,1,0,1
390,0,0,0,1,1
391,0,1,1,1,0
392,0,0,0,1,1
393,1,1,1,1,0
394,0,1,0,1,0
395,1,1,1,1,0
396,1,1,1,1,0
397,1,1,0,1,0
398,1,1,1,0,1
399,1,0,1,0,0
400,0,0,0,0,1
401,1,0,1,1,1
402,0,0,1,1,0
403,0,0,1,0,0
404,0,1,1,1,0
405,0,0,1,1,0
406,1,0,0,1,0
407,1,1,1,1,0
408,0,0,0,1,1
409,0,1,1,1,1
410,1,1,0,1,1
411,1,1,1,1,0
412,0,1,0,0,0
413,1,1,0,0,0
414,1,1,1,1,1
415,1,1,0,1,1
416,0,1,0,1,1
417,1,1,0,0,1
418,1,1,0,0,1
419,0,0,1,1,0
420,1,1,1,0,1
421,1,1,1,1,1
422,1,0,0,1,0
423,0,0,0,0,1
424,0,0,0,0,0
425,0,0,1,0,1
426,0,0,0,1,0
427,0,0,0,0,0
428,1,1,1,1,0
429,0,1,0,1,0
430,1,0,1,1,1
431,0,1,0,1,1
432,0,1,0,0,0
433,1,0,0,0,1
434,0,1,1,1,0
435,0,0,0,0,0
436,1,1,0,0,1
437,1,1,1,0,1
438,1,1,0,1,0
439,0,1,0,1,1
440,1,1,1,0,0
441,1,1,1,1,1
442,1,1,0,1,0
443,1,0,0,0,0
444,1,0,0,1,1
445,1,0,0,1,0
446,1,1,1,0,0
447,0,1,0,1,1
448,1,0,0,1,0
449,0,0,1,1,0
450,1,1,0,0,1
451,0,1,0,0,0
452,1,1,1,0,0
453,1,0,0,0,1
454,0,0,1,1,1
455,0,1,0,0,0
456,1,0,0,1,0
457,1,1,1,1,0
458,1,1,0,0,0
459,1,0,0,0,0
460,0,1,0,1,0
461,0,0,1,0,1
462,1,0,0,0,1
463,0,0,0,1,1
464,1,0,0,1,0
465,1,1,0,0,0
466,1,0,1,0,0
467,0,0,0,1,0
468,0,1,1,0,1
469,0,0,0,1,1
470,0,1,1,1,1
471,1,0,1,0,0
472,0,1,1,1,1
473,1,0,1,0,0
474,0,0,1,0,1
475,0,1,1,1,1
476,1,0,0,1,0
477,0,0,0,1,1
478,1,0,0,1,0
479,0,0,0,1,1
480,0,0,1,1,0
481,0,1,1,1,0
482,0,1,0,1,0
483,1,0,1,1,0
484,0,0,0,0,1
485,0,0,0,0,0
486,1,1,1,1,1
487,1,1,0,0,0
488,1,1,0,0,1
489,1,0,1,1,0
490,0,1,0,1,1
491,0,1,0,0,1
492,0,0,0,1,0
493,0,1,0,1,0
494,1,1,0,0,0
495,0,0,0,1,1
496,1,0,0,1,0
497,0,0,1,0,1
498,0,0,0,1,1
499,0,1,0,1,0
500,1,1,0,0,0
501,0,0,0,0,1
502,1,1,0,0,1
503,0,1,1,0,0
504,1,0,0,1,1
505,1,0,0,1,0
506,0,0,1,0,0
507,0,1,1,1,1
508,0,0,0,0,0
509,0,1,0,1,1
510,0,1,0,1,1
511,1,0,1,1,1
512,0,0,1,0,1
513,0,1,1,1,1
514,0,0,1,1,0
515,1,1,0,1,1
516,0,1,1,1,1
517,0,1,0,0,0
518,1,0,1,1,0
519,1,1,1,1,0
520,0,0,0,0,0
521,1,0,0,0,1
522,1,1,1,1,1
523,0,1,1,1,1
524,1,0,0,1,0
525,0,1,1,0,0
526,0,1,0,0,1
527,1,0,1,0,1
528,1,1,0,0,1
529,1,0,1,0,0
530,0,0,0,0,0
531,1,1,1,1,0
532,0,1,1,0,0
533,1,0,0,0,1
534,0,1,0,1,0
535,1,1,0,0,1
536,1,1,1,1,1
537,1,1,0,0,0
538,0,0,0,0,1
539,1,0,0,0,1
540,0,0,0,0,1
541,0,0,1,1,1
542,0,0,1,0,1
543,0,1,0,0,1
544,0,0,0,0,1
545,0,1,0,1,1
546,0,1,1,1,0
547,0,1,0,1,1
548,1,0,0,0,1
549,1,1,0,1,1
550,1,0,1,1,1
551,0,1,0,1,1
552,0,1,0,0,1
553,0,1,0,1,0
554,0,0,1,1,0
555,1,1,0,1,1
556,1,1,0,0,1
557,1,0,0,0,1
558,0,0,0,1,1
559,0,1,1,1,1
560,0,0,0,0,1
561,0,1,0,1,1
562,0,1,0,1,0
563,0,1,0,0,0
564,1,1,1,0,1
565,1,0,0,1,1
566,0,1,0,1,1
567,0,0,1,1,0
568,1,1,0,1,0
569,1,0,0,1,1
570,0,1,1,1,1
571,1,1,0,0,1
572,0,0,0,1,1
573,1,0,1,1,0
574,0,0,0,1,1
575,0,1,1,0,1
576,1,1,1,0,0
577,0,0,0,1,0
578,0,1,1,1,1
579,1,0,0,0,1
580,0,1,1,1,1
581,0,0,1,0,0
582,0,0,0,0,1
583,0,1,0,1,1
584,0,1,0,1,1
585,0,1,0,0,1
586,0,1,0,1,0
587,0,1,1,0,1
588,0,1,0,1,1
589,1,1,1,1,1
590,1,0,0,1,1
591,1,0,1,0,0
592,0,0,1,1,1
593,1,1,1,1,0
594,1,1,0,1,0
595,0,0,0,1,1
596,1,0,0,1,0
597,1,0,1,1,1
598,0,1,1,0,1
599,1,0,1,0,1
600,0,0,0,1,1
601,1,1,1,1,1
602,1,0,1,1,0
603,1,1,0,1,1
604,0,1,0,0,1
605,0,0,1,0,1
606,0,1,0,1,1
607,1,0,0,0,1
608,1,0,0,0,1
609,0,0,0,1,0
610,1,1,0,0,1
611,1,1,0,1,1
612,0,0,1,0,1
613,1,1,1,1,0
614,1,0,0,0,0
615,1,0,0,1,1
616,0,0,0,0,0
617,0,1,1,0,0
618,1,1,0,1,0
619,1,0,1,0,0
620,0,0,0,0,1
621,0,0,0,1,0
622,1,0,1,1,0
623,1,1,1,1,0
624,0,1,1,0,0
625,0,1,0,0,0
626,0,1,1,0,0
627,0,0,1,0,0
628,0,1,0,0,0
629,0,0,0,0,1
630,1,0,0,0,0
631,0,1,1,1,0
632,0,1,1,0,1
633,0,0,0,0,0
634,0,1,0,1,1
635,1,0,1,0,0
636,1,0,0,1,0
637,1,0,1,0,1
638,1,1,1,0,1
639,0,0,1,0,1
640,0,0,1,0,0
641,1,0,0,0,0
642,1,1,0,0,1
643,1,0,1,0,1
644,0,1,1,1,1
645,0,1,0,0,0
646,1,0,1,1,1
647,1,0,0,1,1
648,0,1,0,0,1
649,1,0,1,0,1
650,1,1,1,0,1
651,0,1,1,0,0
652,1,1,0,1,0
653,0,0,0,0,0
654,1,1,0,1,1
655,1,0,0,0,0
656,0,1,0,1,1
657,0,0,1,1,1
658,0,1,1,0,1
659,1,1,0,1,0
660,1,1,0,1,0
661,0,0,1,1,0
662,1,1,0,0,1
663,0,0,0,1,0
664,0,0,1,1,1
665,0,1,1,0,1
666,1,0,1,0,1
667,1,1,1,1,0
668,0,1,1,1,1
669,1,0,1,1,1
670,0,0,1,0,0
671,1,1,1,1,1
672,0,1,0,1,0
673,0,1,0,0,0
674,1,0,0,0,1
675,1,0,1,1,0
676,0,1,0,0,1
677,1,0,0,1,0
678,1,1,1,0,1
679,1,0,1,0,1
680,0,1,0,1,0
681,1,1,0,1,1
682,0,0,1,0,0
683,0,1,0,1,0
684,1,0,0,0,0
685,1,1,0,0,0
686,0,0,0,1,0
687,0,1,1,1,1
688,0,0,0,1,1
689,0,1,0,1,1
690,1,0,1,1,1
691,0,0,0,0,1
692,0,1,1,1,1
693,1,1,0,1,0
694,0,1,1,0,0
695,0,1,0,1,1
696,1,0,1,1,1
697,1,1,0,0,0
698,0,1,0,1,1
699,1,1,1,1,1
700,1,1,1,1,0
701,0,1,1,0,1
702,1,0,1,0,0
703,0,0,0,0,1
704,0,1,0,0,0
705,0,0,1,1,0
706,0,0,0,1,1
707,1,0,1,1,0
708,0,1,0,1,1
709,0,1,1,1,0
710,1,1,1,0,0
711,1,1,1,0,0
712,1,0,0,1,1
713,0,0,0,1,1
714,1,1,0,1,0
715,0,1,1,1,1
716,1,1,1,0,1
717,1,1,0,0,1
718,0,0,0,1,1
719,1,1,1,0,0
720,1,1,0,1,0
721,0,1,1,1,0
722,1,1,1,1,1
723,1,1,1,1,1
724,0,0,1,0,1
725,1,0,1,1,1
726,1,1,0,1,1
727,0,0,0,1,0
728,1,1,1,0,1
729,1,0,0,1,1
730,1,0,0,0,0
731,0,1,1,0,0
732,0,0,0,1,0
733,0,0,0,0,0
734,1,1,1,0,0
735,1,1,1,0,1
736,1,1,0,0,0
737,0,1,0,1,1
738,1,0,0,1,0
739,1,1,0,1,0
740,1,0,0,1,1
741,0,1,1,0,0
742,0,0,1,1,1
743,0,1,0,1,1
744,1,1,0,1,1
745,1,1,1,1,0
746,0,1,1,1,0
747,0,0,1,1,0
748,1,1,1,0,0
749,1,1,1,0,1
750,1,1,0,1,1
751,1,1,1,0,0
752,0,0,0,0,0
753,1,1,1,0,1
754,0,1,0,0,1
755,0,0,0,0,1
756,1,1,1,0,1
757,0,0,0,1,1
758,1,1,1,1,1
759,1,1,0,1,1
760,0,1,0,0,0
761,1,0,0,0,0
762,0,0,1,0,0
763,1,1,0,1,0
764,0,1,1,0,0
765,0,1,0,0,0
766,1,0,1,0,0
767,1,0,1,1,1
768,0,1,1,0,1
769,1,0,0,0,1
770,1,1,0,1,0
771,1,1,0,1,1
772,0,1,1,0,0
773,0,0,1,1,1
774,0,0,1,0,1
775,1,1,1,1,1
776,0,1,1,1,1
777,1,1,1,0,0
778,0,0,1,1,1
779,1,1,0,1,1
780,0,0,0,0,1
781,0,1,0,0,1
782,1,1,1,1,0
783,0,1,0,1,0
784,1,0,0,0,0
785,0,1,0,0,0
786,1,0,0,0,0
787,1,1,0,0,1
788,0,0,1,1,0
789,1,0,0,1,0
790,0,0,0,0,0
791,1,0,0,1,0
792,1,1,0,1,1
793,1,1,0,1,1
794,1,1,0,0,1
795,1,1,0,1,1
796,0,1,0,1,0
797,0,1,1,0,1
798,1,0,0,1,0
799,0,1,1,1,0
800,1,1,0,0,1
801,1,1,1,1,0
802,0,1,1,1,1
803,1,1,0,0,0
804,0,1,1,0,0
805,1,1,0,0,1
806,1,1,0,0,0
807,0,0,0,1,0
808,0,0,1,1,0
809,1,0,1,0,1
810,1,0,0,0,0
811,0,1,0,1,1
812,0,1,1,1,1
813,1,1,1,1,1
814,1,1,0,1,1
815,1,1,1,1,0
816,1,0,1,0,1
817,1,1,1,0,1
818,1,1,1,1,0
819,1,0,1,1,0
820,0,0,0,0,0
821,1,1,0,1,1
822,0,0,0,0,1
823,0,0,1,1,0
824,0,0,1,1,0
825,1,0,0,1,1
826,1,0,1,0,0
827,0,1,0,1,0
828,1,1,0,1,0
829,0,1,0,1,0
830,0,1,1,1,1
831,1,0,0,1,0
832,0,1,0,0,0
833,1,0,1,1,1
834,1,1,0,1,1
835,0,1,0,0,1
836,0,1,0,1,0
837,1,1,1,1,0
838,0,0,0,1,0
839,1,0,0,0,0
840,1,0,0,0,0
841,1,0,0,1,1
842,0,1,1,1,0
843,0,1,1,0,1
844,0,1,1,0,0
845,1,0,0,0,1
846,1,1,0,0,1
847,0,1,1,1,0
848,0,0,1,1,0
849,1,1,1,1,1
850,1,0,1,1,1
851,0,1,0,0,0
852,0,1,0,0,0
853,1,1,1,0,1
854,0,0,1,1,0
855,0,0,1,1,0
856,1,0,1,1,0
857,1,1,0,1,0
858,0,1,0,1,0
859,0,1,1,0,1
860,0,0,0,1,1
861,0,1,0,0,0
862,0,0,1,1,1
863,1,1,1,1,1
864,1,1,0,1,1
865,0,1,0,0,0
866,0,0,1,0,0
867,1,0,1,0,1
868,0,0,1,0,0
869,0,1,1,1,1
870,0,1,0,0,1
871,0,1,0,0,1
872,0,0,1,0,1
873,0,1,0,0,1
874,1,0,1,0,1
875,0,1,1,0,0
876,0,0,1,0,1
877,1,0,0,0,0
878,0,1,0,1,0
879,1,0,1,0,1
880,0,0,1,0,1
881,1,1,0,0,0
882,1,0,0,1,0
883,0,1,0,0,0
884,0,0,0,0,0
885,0,1,1,1,0
886,0,1,1,1,0
887,0,0,0,0,0
888,1,1,0,0,1
889,0,1,1,1,1
890,1,0,0,0,0
891,0,1,0,1,0
892,1,0,0,0,0
893,1,0,0,1,1
894,1,1,0,1,0
895,1,0,1,0,1
896,1,1,1,1,0
897,0,1,1,1,0
898,1,0,1,1,1
899,1,0,0,0,0
900,0,1,1,0,1
901,1,0,1,1,0
902,0,0,1,0,1
903,1,0,1,1,1
904,1,1,0,0,0
905,1,0,0,1,1
906,1,1,1,1,0
907,0,0,0,1,0
908,0,0,1,1,0
909,0,0,0,1,1
910,1,0,1,1,1
911,1,1,0,1,1
912,1,1,1,0,0
913,1,0,0,0,0
914,1,0,1,1,1
915,1,0,0,1,0
916,1,1,0,0,0
917,0,1,1,1,1
918,1,0,1,1,0
919,1,0,1,0,1
920,0,0,0,0,0
921,1,0,1,0,0
922,0,1,1,0,0
923,1,0,1,0,0
924,1,0,1,1,1
925,0,0,0,1,0
926,1,1,1,1,1
927,1,0,0,1,1
928,1,0,0,1,1
929,1,0,0,1,1
930,0,1,1,0,0
931,1,0,1,0,1
932,1,0,1,1,1
933,0,1,0,1,0
934,0,1,0,1,1
935,0,1,1,0,0
936,1,0,1,0,0
937,0,0,1,0,1
938,1,0,0,1,1
939,0,1,0,1,1
940,0,1,0,0,1
941,1,0,1,0,1
942,0,1,0,0,1
943,0,0,1,1,0
944,1,1,1,1,0
945,1,0,1,0,0
946,1,1,1,1,0
947,1,1,1,1,0
948,1,0,0,1,1
949,1,1,1,1,0
950,0,1,1,0,0
951,1,1,0,0,0
952,0,0,1,1,0
953,1,0,1,1,1
954,1,0,1,0,0
955,0,0,1,0,1
956,1,0,0,1,0
957,1,0,0,1,1
958,0,1,1,1,0
959,0,1,1,0,1
960,0,0,1,0,0
961,0,1,1,0,0
962,0,1,1,1,1
963,1,1,1,0,1
964,1,0,0,0,1
965,0,0,0,1,0
966,0,0,0,0,1
967,1,0,0,0,1
968,1,0,1,0,0
969,1,0,1,0,1
970,1,1,1,0,0
971,0,1,1,0,0
972,0,1,0,0,0
973,1,1,1,1,1
974,1,1,0,0,0
975,0,1,1,1,0
976,1,0,0,1,1
977,1,1,0,1,1
978,1,0,0,0,1
979,1,0,1,1,1
980,1,1,1,1,1
981,1,1,0,1,0
982,1,1,1,1,0
983,0,0,0,0,0
984,1,0,0,1,1
985,1,1,0,1,1
986,0,0,1,0,0
987,1,0,1,1,0
988,0,1,0,1,0
989,0,0,1,0,0
990,0,0,1,1,1
991,0,0,0,0,1
992,1,0,0,0,0
993,1,1,0,0,1
994,0,0,0,0,0
995,1,1,0,1,1
996,1,1,0,0,0
997,0,0,0,0,1
998,0,1,1,0,1
999,1,0,1,1,0
1000,1,0,1,1,0
1001,0,0,1,1,1
1002,1,1,1,0,1
1003,1,1,0,0,0
1004,1,0,0,0,1
1005,0,1,1,0,0
1006,0,1,1,1,0
1007,0,1,1,1,0
1008,1,1,1,0,0
1009,1,0,0,1,0
1010,0,0,1,0,1
1011,0,1,1,1,0
1012,0,1,1,0,1
1013,0,1,1,1,0
1014,0,1,0,1,0
1015,0,1,1,1,0
1016,1,1,1,0,1
1017,0,1,1,1,0
1018,0,1,1,0,1
1019,1,0,1,0,1
1020,0,0,1,0,1
1021,0,0,0,0,1
1022,1,1,0,1,0
1023,0,1,0,0,0
1024,0,0,1,0,1
1025,1,0,1,1,0
1026,1,1,0,0,1
1027,0,0,1,0,1
1028,1,0,0,1,0
1029,0,1,1,1,1
1030,1,0,1,0,1
1031,0,0,0,0,1
1032,1,1,0,0,0
1033,1,1,1,0,0
1034,0,0,1,0,0
1035,0,0,0,1,1
1036,0,1,1,0,0
1037,0,1,1,0,0
1038,1,0,0,1,1
1039,0,1,1,0,1
1040,0,0,0,0,1
1041,0,0,1,0,0
1042,1,1,1,0,0
1043,0,1,0,1,1
1044,1,1,1,0,0
1045,0,0,0,0,1
